Region,Preferred EV Type,Income Level,EV Adoption Likelihood (%)
West India,EV Hatchback,High Income,44
Central India,EV Hatchback,Low Income,44
South India,EV SUV,Low Income,49
South India,EV SUV,High Income,44
West India,EV Scooter,Low Income,44
North India,EV SUV,High Income,15
Central India,EV Sedan,Low Income,15
North India,EV SUV,High Income,49
South India,EV Sedan,Middle Income,22
Central India,EV SUV,High Income,44
North India,EV Scooter,High Income,22
East India,EV Sedan,Low Income,49
West India,EV Bike,Low Income,49
West India,EV Sedan,Low Income,15
East India,EV Scooter,Low Income,44
South India,EV Sedan,Low Income,26
Central India,EV SUV,Low Income,49
West India,EV SUV,Middle Income,44
East India,EV Scooter,High Income,22
East India,EV Hatchback,High Income,15
South India,EV SUV,High Income,22
South India,EV Bike,Middle Income,49
North India,EV Scooter,High Income,49
West India,EV Sedan,Middle Income,22
North India,EV Sedan,Middle Income,49
East India,EV Bike,Middle Income,44
Central India,EV SUV,High Income,49
Central India,EV Scooter,Middle Income,15
South India,EV Bike,High Income,44
Central India,EV SUV,High Income,26
Central India,EV Scooter,Low Income,49
Central India,EV Sedan,Low Income,49
East India,EV Scooter,Middle Income,15
Central India,EV Hatchback,Middle Income,15
Central India,EV Scooter,High Income,22
Central India,EV Hatchback,Middle Income,22
North India,EV Scooter,Middle Income,22
East India,EV Hatchback,High Income,15
South India,EV Sedan,Middle Income,22
North India,EV SUV,Middle Income,22
West India,EV Hatchback,High Income,26
East India,EV Hatchback,High Income,22
East India,EV Sedan,Low Income,49
West India,EV Hatchback,High Income,15
West India,EV Bike,Low Income,44
West India,EV Sedan,Middle Income,26
South India,EV Bike,High Income,15
Central India,EV Sedan,High Income,15
East India,EV Hatchback,High Income,49
Central India,EV Bike,Middle Income,22
Central India,EV Hatchback,Low Income,49
West India,EV Sedan,Middle Income,22
South India,EV Hatchback,Middle Income,22
North India,EV Bike,High Income,15
South India,EV Bike,Low Income,22
Central India,EV Hatchback,Middle Income,26
South India,EV Scooter,High Income,26
West India,EV Sedan,Middle Income,26
North India,EV Sedan,Middle Income,15
West India,EV Hatchback,High Income,49
North India,EV Scooter,High Income,44
Central India,EV Bike,Low Income,22
North India,EV SUV,Middle Income,44
North India,EV SUV,High Income,49
North India,EV Hatchback,High Income,49
South India,EV Scooter,Low Income,15
South India,EV Scooter,Low Income,26
Central India,EV Sedan,High Income,26
North India,EV Bike,Low Income,49
East India,EV Scooter,High Income,15
Central India,EV SUV,Middle Income,15
North India,EV Bike,Low Income,22
North India,EV Bike,Middle Income,26
South India,EV Hatchback,Middle Income,49
Central India,EV Scooter,Middle Income,44
North India,EV Hatchback,High Income,26
North India,EV Scooter,Middle Income,22
Central India,EV Sedan,Middle Income,15
East India,EV Hatchback,Middle Income,49
Central India,EV Hatchback,High Income,26
Central India,EV SUV,Middle Income,44
East India,EV Hatchback,Middle Income,22
Central India,EV Scooter,Low Income,22
North India,EV SUV,High Income,26
Central India,EV Hatchback,Middle Income,44
East India,EV Hatchback,Low Income,22
West India,EV Sedan,High Income,49
Central India,EV Hatchback,High Income,22
South India,EV Bike,High Income,44
North India,EV SUV,High Income,15
North India,EV Bike,High Income,15
South India,EV SUV,High Income,26
South India,EV Sedan,Middle Income,44
Central India,EV Hatchback,Middle Income,22
South India,EV Hatchback,Middle Income,22
West India,EV Hatchback,Middle Income,15
East India,EV SUV,Low Income,15
South India,EV Hatchback,Middle Income,49
South India,EV Bike,High Income,15
West India,EV Hatchback,Middle Income,49
North India,EV Sedan,Middle Income,22
North India,EV Bike,High Income,49
Central India,EV Hatchback,Middle Income,49
West India,EV Hatchback,Middle Income,26
East India,EV Scooter,Middle Income,15
East India,EV SUV,Low Income,49
West India,EV Bike,Middle Income,22
East India,EV Scooter,High Income,44
North India,EV Sedan,High Income,49
East India,EV SUV,Middle Income,15
East India,EV Bike,Middle Income,26
West India,EV Hatchback,Middle Income,22
West India,EV Bike,High Income,26
East India,EV Hatchback,High Income,44
South India,EV SUV,Low Income,49
West India,EV Hatchback,Low Income,49
Central India,EV Sedan,Low Income,15
Central India,EV Hatchback,High Income,49
North India,EV Sedan,Low Income,22
East India,EV SUV,Middle Income,44
South India,EV SUV,Middle Income,26
North India,EV Bike,High Income,44
East India,EV Sedan,Low Income,49
West India,EV Sedan,Middle Income,26
Central India,EV Scooter,High Income,15
South India,EV Scooter,Low Income,44
Central India,EV Scooter,Middle Income,26
West India,EV Hatchback,Low Income,26
East India,EV Scooter,High Income,26
West India,EV Sedan,Low Income,22
West India,EV Hatchback,High Income,44
Central India,EV SUV,Low Income,26
South India,EV Bike,Middle Income,44
West India,EV Scooter,High Income,26
Central India,EV SUV,High Income,15
South India,EV Sedan,High Income,15
East India,EV Bike,Low Income,15
East India,EV SUV,Low Income,49
North India,EV Bike,Middle Income,26
Central India,EV Scooter,High Income,49
South India,EV Sedan,High Income,44
West India,EV Bike,Low Income,49
East India,EV SUV,Low Income,44
South India,EV Scooter,Middle Income,44
Central India,EV Scooter,Middle Income,44
North India,EV SUV,Low Income,49
East India,EV SUV,High Income,26
South India,EV Bike,Middle Income,49
South India,EV Hatchback,Low Income,26
South India,EV Scooter,Low Income,26
Central India,EV Bike,High Income,44
Central India,EV SUV,Low Income,49
Central India,EV Bike,Low Income,26
West India,EV SUV,Middle Income,15
South India,EV Sedan,Low Income,26
East India,EV SUV,Low Income,15
Central India,EV SUV,Middle Income,49
Central India,EV SUV,High Income,49
South India,EV Hatchback,High Income,49
Central India,EV SUV,Middle Income,26
West India,EV Scooter,Middle Income,22
West India,EV Scooter,High Income,26
Central India,EV Bike,High Income,26
South India,EV Hatchback,High Income,44
South India,EV Bike,High Income,44
South India,EV Scooter,High Income,26
North India,EV Scooter,Middle Income,15
Central India,EV Sedan,Low Income,44
South India,EV SUV,High Income,26
West India,EV Scooter,High Income,22
East India,EV Bike,Low Income,15
East India,EV Bike,Low Income,49
South India,EV SUV,Low Income,26
East India,EV SUV,Low Income,26
East India,EV Sedan,Low Income,15
North India,EV Hatchback,Low Income,44
West India,EV Bike,Middle Income,44
West India,EV SUV,Low Income,44
North India,EV Bike,Low Income,49
North India,EV SUV,Middle Income,15
East India,EV Scooter,Low Income,15
Central India,EV Bike,High Income,44
East India,EV Scooter,High Income,44
North India,EV Bike,Low Income,22
West India,EV Hatchback,Middle Income,22
East India,EV Sedan,High Income,26
Central India,EV Scooter,Middle Income,26
East India,EV SUV,High Income,15
South India,EV Hatchback,Low Income,15
East India,EV Bike,Middle Income,49
North India,EV Scooter,Middle Income,49
West India,EV Bike,Middle Income,22
West India,EV Bike,High Income,26
North India,EV Bike,High Income,22
South India,EV Sedan,High Income,22
North India,EV Sedan,Low Income,26
East India,EV SUV,High Income,49
North India,EV Scooter,Low Income,26
North India,EV Hatchback,Middle Income,44
South India,EV Hatchback,Middle Income,44
East India,EV Hatchback,Low Income,44
Central India,EV Bike,High Income,15
Central India,EV Sedan,Low Income,49
West India,EV Scooter,Middle Income,49
North India,EV Bike,Middle Income,15
West India,EV Sedan,Low Income,22
South India,EV Sedan,High Income,44
Central India,EV Scooter,High Income,44
North India,EV Scooter,Low Income,22
South India,EV Scooter,Low Income,26
South India,EV Bike,High Income,26
North India,EV SUV,Middle Income,49
South India,EV Scooter,Low Income,15
North India,EV SUV,High Income,49
North India,EV Bike,High Income,26
East India,EV SUV,Middle Income,22
West India,EV Hatchback,Middle Income,49
South India,EV SUV,Middle Income,44
South India,EV Scooter,Middle Income,44
East India,EV Bike,Middle Income,22
East India,EV Scooter,Low Income,26
East India,EV Hatchback,High Income,44
Central India,EV Scooter,Low Income,44
Central India,EV Scooter,Low Income,15
Central India,EV Scooter,Low Income,49
North India,EV Sedan,Low Income,26
South India,EV Hatchback,Low Income,49
West India,EV Scooter,Middle Income,26
North India,EV Scooter,Middle Income,44
South India,EV Scooter,High Income,15
South India,EV Bike,Low Income,49
East India,EV Sedan,High Income,44
East India,EV Bike,Middle Income,26
North India,EV Sedan,Middle Income,49
East India,EV Scooter,Middle Income,49
South India,EV Hatchback,Low Income,44
East India,EV SUV,Low Income,49
Central India,EV SUV,Middle Income,15
East India,EV Scooter,High Income,15
South India,EV Bike,High Income,44
North India,EV Hatchback,Middle Income,26
West India,EV Sedan,High Income,44
East India,EV Scooter,Middle Income,15
South India,EV Hatchback,High Income,22
West India,EV Hatchback,Middle Income,22
West India,EV Sedan,High Income,49
Central India,EV Hatchback,Low Income,49
West India,EV Bike,Middle Income,22
South India,EV Bike,Middle Income,15
South India,EV Bike,High Income,49
East India,EV Hatchback,Middle Income,44
East India,EV Bike,Middle Income,44
East India,EV Sedan,Middle Income,15
West India,EV Hatchback,Low Income,49
West India,EV SUV,Low Income,44
Central India,EV Hatchback,High Income,49
East India,EV Sedan,Low Income,49
North India,EV SUV,High Income,44
Central India,EV Hatchback,Low Income,22
North India,EV Bike,High Income,44
West India,EV Scooter,Low Income,15
Central India,EV Scooter,Low Income,26
Central India,EV Bike,High Income,44
South India,EV Scooter,Middle Income,49
West India,EV Scooter,Middle Income,49
West India,EV Bike,Low Income,44
Central India,EV Bike,High Income,26
West India,EV Hatchback,Middle Income,44
Central India,EV Hatchback,High Income,26
South India,EV Bike,Middle Income,26
Central India,EV Sedan,High Income,15
West India,EV Scooter,Low Income,49
West India,EV Hatchback,High Income,49
Central India,EV Scooter,Middle Income,26
Central India,EV SUV,Low Income,49
Central India,EV Bike,High Income,22
East India,EV Sedan,Middle Income,26
West India,EV SUV,Low Income,49
West India,EV SUV,High Income,22
East India,EV SUV,Middle Income,15
Central India,EV Bike,High Income,49
South India,EV Hatchback,High Income,22
Central India,EV Bike,Low Income,44
Central India,EV Hatchback,Low Income,44
East India,EV SUV,Middle Income,22
West India,EV SUV,Low Income,26
Central India,EV Sedan,Middle Income,26
West India,EV Hatchback,High Income,49
North India,EV SUV,High Income,44
West India,EV Scooter,Middle Income,26
South India,EV Sedan,High Income,26
South India,EV Bike,Low Income,44
Central India,EV Sedan,High Income,15
West India,EV Scooter,Low Income,26
Central India,EV Hatchback,Middle Income,22
East India,EV Bike,Middle Income,49
South India,EV Bike,High Income,26
Central India,EV Hatchback,High Income,26
East India,EV Sedan,Low Income,15
Central India,EV SUV,Low Income,22
West India,EV Sedan,High Income,49
West India,EV Scooter,High Income,26
West India,EV SUV,Middle Income,49
West India,EV Sedan,Middle Income,44
North India,EV Hatchback,Middle Income,26
East India,EV Scooter,High Income,26
East India,EV Scooter,High Income,44
West India,EV Scooter,High Income,15
North India,EV SUV,Middle Income,26
West India,EV Bike,High Income,49
North India,EV SUV,Low Income,22
West India,EV Sedan,High Income,49
South India,EV Bike,High Income,15
South India,EV Sedan,High Income,22
Central India,EV Bike,High Income,49
West India,EV SUV,High Income,49
East India,EV Scooter,Low Income,44
Central India,EV Hatchback,Low Income,15
South India,EV Scooter,High Income,44
West India,EV SUV,Middle Income,22
Central India,EV Bike,High Income,44
West India,EV Scooter,High Income,15
South India,EV SUV,High Income,26
Central India,EV Sedan,Middle Income,26
South India,EV Hatchback,Middle Income,22
North India,EV Scooter,Middle Income,26
South India,EV Bike,Low Income,44
West India,EV Sedan,Middle Income,22
East India,EV SUV,Low Income,15
South India,EV Hatchback,Low Income,22
East India,EV Bike,Middle Income,22
North India,EV SUV,Middle Income,49
Central India,EV SUV,Middle Income,49
Central India,EV Scooter,Low Income,22
East India,EV Scooter,High Income,26
Central India,EV Bike,Middle Income,49
South India,EV SUV,Middle Income,15
East India,EV Scooter,Middle Income,44
West India,EV Hatchback,Low Income,49
South India,EV Hatchback,Low Income,22
South India,EV SUV,High Income,26
South India,EV Scooter,Middle Income,44
West India,EV Bike,Low Income,49
North India,EV Bike,High Income,26
Central India,EV Bike,Middle Income,26
East India,EV Hatchback,Low Income,26
North India,EV Scooter,Middle Income,22
East India,EV Scooter,Middle Income,15
Central India,EV Hatchback,Low Income,26
West India,EV Bike,Low Income,44
South India,EV Bike,Low Income,49
South India,EV SUV,Middle Income,44
West India,EV Sedan,Middle Income,22
North India,EV Scooter,High Income,22
North India,EV Scooter,Middle Income,44
East India,EV Scooter,Low Income,15
West India,EV Sedan,Middle Income,22
North India,EV SUV,High Income,22
West India,EV Sedan,High Income,44
Central India,EV Bike,Low Income,22
South India,EV Bike,Low Income,15
South India,EV Scooter,High Income,15
South India,EV Hatchback,High Income,15
West India,EV Scooter,High Income,49
West India,EV Hatchback,Low Income,15
East India,EV Sedan,High Income,15
South India,EV Bike,High Income,49
East India,EV Hatchback,Low Income,26
South India,EV Sedan,Middle Income,22
East India,EV Bike,Middle Income,15
East India,EV Hatchback,High Income,22
Central India,EV Scooter,Middle Income,44
East India,EV Scooter,Middle Income,22
West India,EV Scooter,Middle Income,49
East India,EV Sedan,Middle Income,22
South India,EV Scooter,High Income,22
East India,EV SUV,Middle Income,22
North India,EV Bike,Middle Income,26
South India,EV Sedan,Low Income,26
North India,EV Scooter,High Income,44
South India,EV Bike,Low Income,49
West India,EV Hatchback,Low Income,22
West India,EV Scooter,High Income,22
West India,EV Bike,Middle Income,22
North India,EV SUV,Low Income,22
Central India,EV Hatchback,High Income,26
South India,EV SUV,Middle Income,44
West India,EV Bike,High Income,15
South India,EV SUV,Low Income,49
North India,EV Bike,Middle Income,22
Central India,EV Bike,Middle Income,44
North India,EV SUV,High Income,15
South India,EV Bike,Middle Income,44
Central India,EV Scooter,Low Income,26
Central India,EV Bike,Low Income,15
North India,EV Sedan,Low Income,44
West India,EV Bike,High Income,26
South India,EV Sedan,Middle Income,44
East India,EV Bike,Middle Income,44
East India,EV Bike,Middle Income,15
North India,EV SUV,Low Income,26
South India,EV Scooter,Middle Income,22
South India,EV Scooter,Low Income,49
North India,EV Hatchback,Middle Income,15
South India,EV SUV,Low Income,26
West India,EV SUV,Middle Income,44
North India,EV Scooter,High Income,26
West India,EV SUV,High Income,49
South India,EV Scooter,Low Income,49
North India,EV SUV,Low Income,22
South India,EV Bike,Middle Income,22
North India,EV Scooter,Middle Income,49
South India,EV Scooter,High Income,15
West India,EV Sedan,Middle Income,15
West India,EV SUV,Low Income,44
South India,EV SUV,Low Income,22
North India,EV Scooter,Low Income,44
East India,EV Bike,Low Income,22
West India,EV Bike,Low Income,49
West India,EV Bike,High Income,15
East India,EV SUV,High Income,15
South India,EV Sedan,Low Income,49
North India,EV Scooter,Middle Income,44
South India,EV Hatchback,Low Income,44
Central India,EV Sedan,High Income,26
West India,EV Hatchback,Low Income,22
Central India,EV Sedan,High Income,44
West India,EV Bike,High Income,49
West India,EV SUV,Low Income,44
Central India,EV Hatchback,Low Income,15
Central India,EV Sedan,Middle Income,22
South India,EV SUV,High Income,26
Central India,EV Hatchback,Middle Income,22
South India,EV Scooter,Low Income,15
South India,EV Sedan,High Income,15
South India,EV Scooter,Middle Income,15
West India,EV Bike,Middle Income,15
West India,EV Scooter,Middle Income,49
Central India,EV Scooter,Low Income,26
West India,EV Sedan,Low Income,15
Central India,EV Bike,Low Income,15
West India,EV Scooter,High Income,44
North India,EV SUV,Low Income,26
North India,EV Hatchback,High Income,22
Central India,EV Scooter,Middle Income,26
West India,EV Bike,Middle Income,26
West India,EV Scooter,Low Income,26
South India,EV Hatchback,Middle Income,15
East India,EV Bike,Low Income,15
Central India,EV Sedan,High Income,49
East India,EV Bike,Middle Income,22
East India,EV Sedan,Low Income,44
Central India,EV Bike,Middle Income,26
West India,EV Hatchback,Middle Income,22
Central India,EV Hatchback,Low Income,22
East India,EV Bike,Middle Income,49
West India,EV Scooter,Middle Income,44
North India,EV Hatchback,Middle Income,26
Central India,EV Sedan,Middle Income,44
Central India,EV Sedan,High Income,49
West India,EV SUV,Middle Income,15
North India,EV Sedan,Middle Income,22
North India,EV SUV,Low Income,26
West India,EV Bike,High Income,15
South India,EV Bike,Low Income,49
Central India,EV Bike,Low Income,44
Central India,EV Scooter,Low Income,22
East India,EV Scooter,High Income,26
West India,EV SUV,Low Income,15
East India,EV Sedan,Low Income,15
East India,EV Sedan,Low Income,22
North India,EV Bike,Middle Income,44
Central India,EV Hatchback,Low Income,49
East India,EV Scooter,High Income,44
North India,EV Scooter,High Income,44
West India,EV Bike,Middle Income,44
East India,EV Scooter,High Income,22
Central India,EV Bike,High Income,22
East India,EV SUV,Middle Income,49
West India,EV Sedan,Low Income,44
East India,EV Hatchback,Middle Income,22
Central India,EV Sedan,Low Income,49
North India,EV Sedan,Low Income,49
Central India,EV SUV,High Income,44
North India,EV Scooter,Middle Income,26
South India,EV Hatchback,High Income,44
Central India,EV Scooter,High Income,26
Central India,EV Sedan,Low Income,49
West India,EV Bike,High Income,22
East India,EV Sedan,Middle Income,15
North India,EV Scooter,High Income,49
North India,EV Sedan,High Income,22
West India,EV Bike,Low Income,49
West India,EV SUV,Middle Income,44
East India,EV Scooter,High Income,26
East India,EV Sedan,Low Income,49
Central India,EV Scooter,High Income,22
